row_name,P,Mean,Distribution,Ratio
1,0.001,1,Uniform,ratio_sta
2,0.001,0.9989,Uniform,ratio_dyn
3,0.0032,1,Uniform,ratio_sta
4,0.0032,0.9991,Uniform,ratio_dyn
5,0.01,1,Uniform,ratio_sta
6,0.01,0.9991,Uniform,ratio_dyn
7,0.0316,1,Uniform,ratio_sta
8,0.0316,0.9973,Uniform,ratio_dyn
9,0.1,1,Uniform,ratio_sta
10,0.1,0.9917,Uniform,ratio_dyn
11,0.3162,1,Uniform,ratio_sta
12,0.3162,0.9994,Uniform,ratio_dyn
13,0.7943,1,Uniform,ratio_sta
14,0.7943,0.9966,Uniform,ratio_dyn
15,0.001,1,Gamma,ratio_sta
16,0.001,0.9999,Gamma,ratio_dyn
17,0.0032,1,Gamma,ratio_sta
18,0.0032,0.9995,Gamma,ratio_dyn
19,0.01,1,Gamma,ratio_sta
20,0.01,1,Gamma,ratio_dyn
21,0.0316,1,Gamma,ratio_sta
22,0.0316,0.999,Gamma,ratio_dyn
23,0.1,1,Gamma,ratio_sta
24,0.1,0.9965,Gamma,ratio_dyn
25,0.3162,1,Gamma,ratio_sta
26,0.3162,0.9993,Gamma,ratio_dyn
27,0.7943,1,Gamma,ratio_sta
28,0.7943,0.9989,Gamma,ratio_dyn
29,0.001,1,Normal,ratio_sta
30,0.001,0.9999,Normal,ratio_dyn
31,0.0032,1,Normal,ratio_sta
32,0.0032,0.9997,Normal,ratio_dyn
33,0.01,1,Normal,ratio_sta
34,0.01,0.9999,Normal,ratio_dyn
35,0.0316,1,Normal,ratio_sta
36,0.0316,0.9996,Normal,ratio_dyn
37,0.1,1,Normal,ratio_sta
38,0.1,1,Normal,ratio_dyn
39,0.3162,1,Normal,ratio_sta
40,0.3162,1,Normal,ratio_dyn
41,0.7943,1,Normal,ratio_sta
42,0.7943,0.9996,Normal,ratio_dyn
